清单序号,原方名,规范方名,出处,主治原文,组成,候选证型,候选证型ID,裁定状态,核定证型,核定证型ID,裁定依据,证据层级,全网资料入口,联网补强状态,需医生最终签字,数据质量备注,逐方网页证据,逐方网页核验
88,苏叶黄连汤,苏叶黄连汤,《温热经纬》,症见恶心呕吐酸水、苦水，胸胁胀痛，口苦，嗳气，头胀头晕等,紫苏叶、黄连片、姜半夏、陈皮、姜竹茹、乌梅,,,采纳,肝胃郁热,TCM-SYNDROME-5FC3C5655CC3,呕吐酸苦水，胸胁胀痛，口苦嗳气，头胀头晕，为肝热犯胃、胃气上逆之象。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%8B%8F%E5%8F%B6%E9%BB%84%E8%BF%9E%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E8%8B%8F%E5%8F%B6%E9%BB%84%E8%BF%9E%E6%B1%A4,页面正文命中方名
89,乌药散,乌药散,《小儿药证直诀》,乳母冷热不和，及心腹时痛，或水泻，或乳不好，因以饲儿，致儿心腹疼痛，或时下利,乌药、香附、高良姜、赤芍,,,采纳,寒凝气滞,TCM-SYNDROME-EA67C0A56D7A,乳母冷热不和导致儿心腹疼痛，时下利，属寒邪凝滞气机。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E4%B9%8C%E8%8D%AF%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E4%B9%8C%E8%8D%AF%E6%95%A3,页面正文命中方名
90,五淋散,五淋散,《太平惠民和剂局方》,膀胱有热，水道不通，尿少次频，脐腹急痛，作止有时，劳倦即发，或尿如豆汁，或尿有砂石，或尿淋如膏，或热淋尿血,茯苓、当归、甘草、赤芍、栀子、灯心草,,,采纳,膀胱湿热,TCM-SYNDROME-F004D9A90550,原文“膀胱有热，水道不通”，尿少次频急痛，或有砂石、尿血、如膏等，皆为湿热下注膀胱之象。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E4%BA%94%E6%B7%8B%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E4%BA%94%E6%B7%8B%E6%95%A3,页面正文命中方名
91,五痿汤,五痿汤,《医学心悟》,五脏痿证,人参、白术、茯苓、甘草、当归、薏苡仁、麦冬、黄柏、知母,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E4%BA%94%E7%97%BF%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E4%BA%94%E7%97%BF%E6%B1%A4,页面正文命中方名
92,香连丸,香连丸,《太平惠民和剂局方》,热痢,黄连片、木香,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%A6%99%E8%BF%9E%E4%B8%B8,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E9%A6%99%E8%BF%9E%E4%B8%B8,页面正文命中方名
93,象皮膏,象皮膏,《伤科补要》,跌打断骨，开放性损伤及各种溃疡腐肉已去，且已控制感染无明显脓性分泌物，期待其生长进而愈合者,大黄、川芎、当归、地黄、红花、黄连片、甘草、荆芥、肉桂、白及、白蔹,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%B1%A1%E7%9A%AE%E8%86%8F,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E8%B1%A1%E7%9A%AE%E8%86%8F,页面正文命中方名
94,薏苡仁汤,薏苡仁汤,《类证治裁》,着痹,薏苡仁、麸炒苍术、独活、防风、麻黄、桂枝、当归、川芎、羌活、制川乌、生姜,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%96%8F%E8%8B%A1%E4%BB%81%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E8%96%8F%E8%8B%A1%E4%BB%81%E6%B1%A4,页面正文命中方名
95,栀子胜奇散,栀子胜奇散,《原机启微》,胬肉攀睛,蛇蜕、决明子、川芎、荆芥穗、菊花、炒蒺藜、谷精草、防风、羌活、栀子、密蒙花、甘草、蔓荆子、木贼、黄芩片,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%A0%80%E5%AD%90%E8%83%9C%E5%A5%87%E6%95%A3,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E6%A0%80%E5%AD%90%E8%83%9C%E5%A5%87%E6%95%A3,页面正文命中方名
96,猪苓散,猪苓散,《银海精微》,肾水衰，行动举止则眼中神水之中荡漾，有黑影如蝇翅,猪苓、车前子、木通、大黄、栀子、狗脊、滑石、萹蓄、苍术,,,采纳,肾阴虚,kidney_yin_deficiency,主治见肾水衰，眼中神水荡漾、黑影如蝇翅，为肾阴亏虚之象。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%8C%AA%E8%8B%93%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E7%8C%AA%E8%8B%93%E6%95%A3,页面正文命中方名
97,壮筋养血汤,壮筋养血汤,《伤科补要》,伤筋络,当归、川芎、白芍、续断、红花、地黄、牡丹皮、盐杜仲、川牛膝,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%A3%AE%E7%AD%8B%E5%85%BB%E8%A1%80%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E5%A3%AE%E7%AD%8B%E5%85%BB%E8%A1%80%E6%B1%A4,页面正文命中方名
98,滋阴除湿汤,滋阴除湿汤,《外科正宗》,慢性湿疹、亚急性湿疹、脂溢性皮炎、异位性皮炎反复发作者,川芎、当归、白芍、熟地黄、柴胡、黄芩片、陈皮、知母、川贝母、泽泻、地骨皮、甘草,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%BB%8B%E9%98%B4%E9%99%A4%E6%B9%BF%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E6%BB%8B%E9%98%B4%E9%99%A4%E6%B9%BF%E6%B1%A4,页面正文命中方名
99,艾叶回阳散,艾叶回阳散,《古方汇精》,治阴疽发背。陷下不痛者。；艾叶温经散寒，硫黄雄黄解毒回阳，外敷治阴疽陷下。,艾叶、硫黄、雄黄,阳虚寒凝；阴寒凝滞；寒凝阳虚,TCM-SYNDROME-0FDB1AE04FB2；TCM-SYNDROME-B646518374F7；TCM-SYNDROME-A882856779F6,采纳,阴寒凝滞,TCM-SYNDROME-B646518374F7,主治阴疽发背、陷下不痛，属阴寒凝滞之证。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
100,白虎散,白虎散,《惠直堂经验方》,治中风。兼治小儿急惊。；石膏清热泻火，辰砂镇心安神，共奏清热定惊之功。,石膏、朱砂,心肝风火；心肝热炽；心肝火旺,TCM-SYNDROME-89AC324E7D4C；TCM-SYNDROME-BB72FA015DCB；TCM-SYNDROME-9813D548A475,采纳,热盛动风,TCM-SYNDROME-DB74D2D82189,治中风及小儿急惊，主以石膏辰砂清热定惊，显系热极生风。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%99%BD%E8%99%8E%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E7%99%BD%E8%99%8E%E6%95%A3,页面正文命中方名
101,薄荷甘桔杏子汤,薄荷甘桔杏子汤,《医方简义》,治冬温初起。咳嗽。微热。微汗。脉浮大者。；薄荷疏风散热，桔梗宣肺利咽，杏仁降气止咳，甘草调和诸药，共奏辛凉宣肺之功。；冬温初起，咳嗽，微热微汗，脉浮大者。,薄荷、甘草、桔梗、杏仁,风热犯肺；肺经风热；热在肺卫,wind_heat_invading_lung；TCM-SYNDROME-3B8AB5881D5E；TCM-SYNDROME-A92DB2124097,采纳,风热犯肺,wind_heat_invading_lung,冬温初起，咳嗽，微热微汗，脉浮大，属风热犯肺证。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%96%84%E8%8D%B7%E7%94%98%E6%A1%94%E6%9D%8F%E5%AD%90%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E8%96%84%E8%8D%B7%E7%94%98%E6%A1%94%E6%9D%8F%E5%AD%90%E6%B1%A4,页面正文命中方名
102,赤白浊秘方,赤白浊秘方,《验方新编》,赤白浊；方用木通、滑石利水通淋，甘草梢缓急止痛，蔓荆子清利头目，共奏清热利湿止浊之功。,木通、滑石、甘草梢、蔓荆子,湿热下注；下焦湿热；湿热,TCM-SYNDROME-C94E52ED40D3；TCM-SYNDROME-18B07642641D；TCM-SYNDROME-CFEFA693692E,采纳,湿热下注,TCM-SYNDROME-C94E52ED40D3,主治赤白浊，清热利湿止浊，为湿热下注所致。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
103,喘嗽方,喘嗽方,《大小诸证方论》,喘嗽，气不能归源于肾，肝木挟之作祟；或假热气喘吐痰，下元寒极逼火而上喘。；补益肾气，纳气归元，兼以敛肺。,人参、熟地黄、麦冬、五味子、枸杞子、牛膝,肾虚寒痰；上热下寒；肝肾气逆,TCM-SYNDROME-EE36F1AE5046；TCM-SYNDROME-FD9812B9BA81；TCM-SYNDROME-60963AB1E2A8,采纳,上热下寒,TCM-SYNDROME-FD9812B9BA81,主治明示「下元寒极逼火而上喘」，假热气喘，属上热下寒。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
104,大黄汤,大黄汤,《外科集验方》,治肠痈小腹坚硬，肿大如掌而热，按之则痛，其上色或赤或白，小便稠数，汗出憎寒，其脉迟紧者未成脓，如脉数则脓已成。；大黄、芒硝泻热通腑，牡丹皮、桃仁活血化瘀，芥子散结，共奏泻热破瘀、消肿排脓之功。,大黄、牡丹皮、芒硝、芥子、桃仁,热盛血瘀；少腹瘀热；血热瘀滞,TCM-SYNDROME-6EED271652CB；TCM-SYNDROME-67461684888C；TCM-SYNDROME-C67351AB0BA4,采纳,少腹瘀热,TCM-SYNDROME-67461684888C,肠痈小腹坚硬热痛，小便稠数，泻热破瘀，为少腹瘀热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%A4%A7%E9%BB%84%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E5%A4%A7%E9%BB%84%E6%B1%A4,页面正文命中方名
105,大满方,大满方,《大小诸证方论》,此邪在上焦壅塞而不得散也。；方以栝蒌祛胸膈之食、消上焦之痰，佐枳壳、花粉消中，使上焦壅塞得散。,枳壳、栀子、栝蒌、陈皮、天花粉、厚朴,痰浊壅塞；气滞痰阻；痰气壅实,TCM-SYNDROME-9F6F03BD0377；TCM-SYNDROME-5F85854286C7；TCM-SYNDROME-00DFD47644F4,采纳,痰浊壅塞,TCM-SYNDROME-9F6F03BD0377,邪在上焦壅塞不得散，方消上焦之痰，属痰浊壅塞证。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
106,第三方,第三方,《惠直堂经验方》,痢症；方用黄芩、白芍清热和血，橘红、厚朴理气燥湿，木香调气，地榆止痢，红花活血。,黄芩、白芍、橘红、厚朴、木香、地榆、红花,大肠湿热；湿热动血；血热挟湿,TCM-SYNDROME-064C46403192；TCM-SYNDROME-7E3406FDC9A5；TCM-SYNDROME-F4F87C37417F,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
107,定风散,定风散,《验方新编》,治破伤风、金枪刀斧打破损伤，并能生肌，并治癫狗咬。；天南星祛风化痰，防风解表祛风，二药等分，共奏祛风定痉、生肌止血之功。,天南星、防风,外风；风痰；外伤血瘀,TCM-SYNDROME-D721CD68E4A1；TCM-SYNDROME-C8D18E226DEA；TCM-SYNDROME-F898822FF2CD,采纳,外风,TCM-SYNDROME-D721CD68E4A1,主治破伤风，属外风侵袭，方以祛风定痉为主。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%AE%9A%E9%A3%8E%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E5%AE%9A%E9%A3%8E%E6%95%A3,页面正文命中方名
108,都气加桂汤,都气加桂汤,《医方简义》,治喘哮之欲愈者。以纳肾气之法。；纳肾气，补肾阴，降逆平喘。；喘哮之欲愈者。,熟地黄、茯苓、泽泻、山药、牡丹皮、山茱萸、五味子、肉桂,肾不纳气；肾阴虚；肾气虚,TCM-SYNDROME-83D8F6C6B5B9；kidney_yin_deficiency；TCM-SYNDROME-B7B9EF78361F,采纳,肾不纳气,TCM-SYNDROME-83D8F6C6B5B9,主治明言“纳肾气”，喘哮欲愈，核心为肾不纳气。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%83%BD%E6%B0%94%E5%8A%A0%E6%A1%82%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E9%83%BD%E6%B0%94%E5%8A%A0%E6%A1%82%E6%B1%A4,页面正文命中方名
109,独活汤,独活汤,医方集解,风虚螈 ，昏 不觉，或为寒热；此手少阴、足厥阴药也。肝属风木而主筋，故螈 为肝邪。肝欲散，急食辛以散之，二活、防风祛风，细辛、桂心温经，半夏除痰，芎归辛散风而温和血，血活则风散，辛以散之，即辛以补之也（木喜条达，故以散为补）；心为肝子，肝移热于心则昏愦，故以人参补心气，菖蒲开心窍。茯神、远志安心神，白薇咸寒退热而治厥；使风静火息，血活神守，而螈 自已矣。；产后中风，口噤背反,独活、羌活、防风、细辛、桂心、白薇、当归、川芎、半夏、人参、茯神、远志、菖蒲、甘草,心肝气血两虚；气血两虚动风；肝血虚动风,TCM-SYNDROME-E067EA4C1FD4；TCM-SYNDROME-6A3F837B46E1；TCM-SYNDROME-6225CACC1EB5,采纳,心肝气血两虚,TCM-SYNDROME-E067EA4C1FD4,主治“风虚螈”，方解示手少阴足厥阴药，补心气养肝血。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%8B%AC%E6%B4%BB%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E7%8B%AC%E6%B4%BB%E6%B1%A4,页面正文命中方名
110,断下汤,断下汤,《三因极一病证方论》,治下痢赤白，无问久近长幼，皆可服。；方以罂粟壳涩肠止痢，草果燥湿温中，白术茯苓健脾，甘草调和，姜枣和营卫。,罂粟壳、草果、白术、甘草、茯苓,寒湿困脾；脾胃寒湿；湿困脾胃,TCM-SYNDROME-4B9F89FBA037；TCM-SYNDROME-DE5A8A5C17D1；TCM-SYNDROME-064EF6858A5E,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%96%AD%E4%B8%8B%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E6%96%AD%E4%B8%8B%E6%B1%A4,页面正文命中方名
111,芳香饮,芳香饮,《医方简义》,治瘟疫呕痰涎如红汁，腹如圆箕，手足搐搦发疹，头肿舌烂，咽喉痹塞等危疑重症；方用玄参、石膏清热凉血，茯苓利湿，僵蚕、蝉蜕散风解毒，荆芥、黄芩疏表清里，蜜酒调和，治瘟疫危证,玄参、茯苓、石膏、僵蚕、蝉蜕、荆芥、黄芩,湿浊热毒入营血；湿热动血；血热动风,TCM-SYNDROME-9AFC32B512A0；TCM-SYNDROME-7E3406FDC9A5；TCM-SYNDROME-528A18A430ED,采纳,血热动风,TCM-SYNDROME-528A18A430ED,主治“手足搐搦发疹”及“呕痰涎如红汁”显示热毒动血生风。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%8A%B3%E9%A6%99%E9%A5%AE,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E8%8A%B3%E9%A6%99%E9%A5%AE,页面正文命中方名
112,防风秦艽汤,防风秦艽汤,《验方新编》,治肠风下血，一切痔疮。；祛风清热，凉血止血，燥湿解毒，归肝、大肠经。,防风、秦艽、当归、生地黄、白芍、川芎、白芷、赤茯苓、连翘、槟榔、甘草、地榆、槐角、枳壳、栀子、苍术,血热风燥；湿热动血；大肠湿热,TCM-SYNDROME-BE65FC64C6BE；TCM-SYNDROME-7E3406FDC9A5；TCM-SYNDROME-064C46403192,采纳,大肠湿热,TCM-SYNDROME-064C46403192,主治“肠风下血，一切痔疮”与燥湿解毒，直接对应大肠湿热伤络。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%98%B2%E9%A3%8E%E7%A7%A6%E8%89%BD%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E9%98%B2%E9%A3%8E%E7%A7%A6%E8%89%BD%E6%B1%A4,页面正文命中方名
113,敷和汤,敷和汤,《三因极一病证方论》,治巳亥之岁，厥阴风木司天，少阳相火在泉，病者中热，而反右胁下寒，耳鸣，泪出掉眩，燥湿相搏，民病黄瘅浮肿，时作瘟疠。；方中半夏、干姜温中，枳实、橘皮理气，茯苓、甘草健脾，五味子、诃子敛肺，枣子调和，共奏调肝理脾、清热化湿之功。,半夏、大枣、五味子、枳实、茯苓、诃子、干姜、橘皮、甘草,肝脾湿热；肝脾湿火；肝火湿热,TCM-SYNDROME-5291FB5320B6；TCM-SYNDROME-385A1BB23DCE；TCM-SYNDROME-675593AB1394,采纳,肝脾湿热,TCM-SYNDROME-5291FB5320B6,主治“黄瘅浮肿”为湿热蕴结肝脾的典型表现。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%95%B7%E5%92%8C%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%95%B7%E5%92%8C%E6%B1%A4,页面正文命中方名
114,服蛮煎,服蛮煎,《成方切用》,行滞气，开郁结，通神明，养正除邪，大有奇效。；性味极清极轻，善入心肝二脏，行滞开郁，通神明，养正除邪。,生地黄、麦冬、白芍、石菖蒲、石斛、牡丹皮、茯神、陈皮、木通、知母,肝气郁结；心脉气滞；心气滞血瘀,TCM-SYNDROME-1653D0B71600；TCM-SYNDROME-9E6782B5D9A2；TCM-SYNDROME-0FFB798300BF,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%9C%8D%E8%9B%AE%E7%85%8E,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E6%9C%8D%E8%9B%AE%E7%85%8E,页面正文命中方名
115,附托里消毒散,附托里消毒散,《古今名医方论》,参、术、苓、草益气；归、芎、芍滋血；银花、白芷、连翘解毒。,人参、黄芪、白术、茯苓、当归、川芎、芍药、金银花、白芷、甘草、连翘,气血两虚毒滞；气血两虚；气血亏虚,TCM-SYNDROME-275494A78C7F；qi_blood_deficiency；TCM-SYNDROME-3AAD68D5C9BF,采纳,气血两虚毒滞,TCM-SYNDROME-275494A78C7F,主治强调益气滋血又解毒，正虚与毒滞并见。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
116,关格方,关格方,《大小诸证方论》,怒气伤肝，肝气冲于胃口之间，肾气不得上行，肺气不得下达，而成关格症。；开郁为主，疏肝理气，兼调肺肾。,柴胡、郁金、茯苓、苏子、白芥子、白芍、荆芥,肝气犯胃；肝肾气逆；肝气犯肺,TCM-SYNDROME-0DC4647019FB；TCM-SYNDROME-60963AB1E2A8；TCM-SYNDROME-067F6CE262E8,采纳,肝气犯胃,TCM-SYNDROME-0DC4647019FB,“怒气伤肝，肝气冲于胃口之间”，直接显示肝气犯胃病机。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
117,过劳方,过劳方,《大小诸证方论》,凡人过劳，脉必浮大不伦，若不休息，必有吐血之症。；补气养血，滋阴补肾，用于过劳伤气血。,人参、白术、茯苓、熟地黄、山茱萸、当归、白芍,心肾气阴两虚；气血两虚；气不摄血,TCM-SYNDROME-64741BDF4B52；qi_blood_deficiency；TCM-SYNDROME-C1348758E444,采纳,气血两虚,qi_blood_deficiency,“过劳伤气血”，补气养血，脉浮大不伦，吐血倾向源于气血虚。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
