序号,方名,出处,推导流派,原确认方式,核定建议,核定方式,功效,主治,核定依据,证据层级,证据网址,需医生最终签字,备注
64,宣清导浊汤,《温病条辨》,温病思路,规则级,是,规则级,,,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
65,宣痹汤,《温病条辨》,温病思路,规则级,是,规则级,清化湿热；宣痹通络,湿热痹证，湿聚热蒸，阻于经络，寒战发热，骨节烦疼，面色痿黄，小便短赤，舌苔黄腻或灰滞,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
66,射干麻黄汤,《金匮要略》,经方思路,规则级,是,规则级,宣肺祛痰；下气止咳,外感风寒，痰饮上逆，咳而上气，喉中有水鸡声,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
67,小建中汤,《伤寒论》,经方思路,规则级,是,规则级,温中补虚；和里缓急,虚劳里急，腹中时痛，喜得温按，按之则痛减，舌淡苔白，或心中悸动，虚烦不宁，面色无华，或四肢酸疼，手足烦热，咽干口燥,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
68,小承气汤,《伤寒论》,经方思路,规则级,是,规则级,轻下热结；除满消痞,伤寒阳明腑实证，谵语潮热，大便秘结，胸腹痞满舌苔黄，脉滑数，痢疾初起，腹中痞痛，或脘腹胀满，里急后重者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
69,小柴胡汤,《伤寒论》,经方思路,规则级,是,规则级,和解少阳,伤寒少阳证；热入血室证；疟疾、黄疸以及内伤杂病而见少阳证者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
70,小营煎,《景岳全书》,温补/扶阳思路,逐首勾选,留空,逐首建议,养血；活血；调经,阴虚血少，头晕心悸，面色萎黄，脉象细弱，妇女月经后期，量少色淡，小腹虚痛,偏滋阴/清热或单纯养血，是否纳入广义景岳温补取向需医生定口径：养血、活血、调经、阴虚血少，头晕心悸，面色萎黄，脉象细弱，妇女月经后期，量少色淡，小腹虚痛,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
71,小陷胸汤,《伤寒论》,经方思路,规则级,是,规则级,清热化痰；宽胸散结,小结胸病，痰热互结，胸脘痞闷，按之则痛，或咳痰黄稠，舌苔黄腻，脉滑数者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
72,小青龙汤,《伤寒论》,经方思路,规则级,是,规则级,解表散寒；温肺化饮,风寒客表，水饮内停，恶寒发热，无汗，咳喘，痰多而稀，舌苔白滑，脉浮，溢饮，身体重病，肌肤悉肿,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
73,左归丸,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,滋阴补肾；填精益髓,真阴肾水不足，不能滋养营卫，渐至衰弱，或虚热往来，自汗盗汗，或遗淋不禁，或眼花耳聋，或口燥舌干，或腰酸腿软,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：滋阴补肾、填精益髓、真阴肾水不足，不能滋养营卫，渐至衰弱，或虚热往来，自汗盗汗，或遗淋不禁，或眼花耳聋，或口燥舌干，或腰酸腿软,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
74,左金丸,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,清泻肝火；降逆止呕,肝火犯胃，胁肋及脘腹胀痛，呕吐口苦，吞酸嘈杂嗳气，口干，舌红苔黄，脉弦数,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：清泻肝火、降逆止呕、肝火犯胃，胁肋及脘腹胀痛，呕吐口苦，吞酸嘈杂嗳气，口干，舌红苔黄，脉弦数,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
75,己椒苈黄丸,《金匮要略》,经方思路,规则级,是,规则级,泻热逐水；通利二便,水饮积聚脘腹，肠间有声，腹满便秘，小便不利，口干舌燥，脉沉弦,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
76,归肾丸,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,滋阴养血；填精益髓,肾水不足，腰酸脚软，精亏血少，头晕耳鸣；肾阴不足，精衰血少，腰酸脚软，形容憔悴，阳痿遗精,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：滋阴养血、填精益髓、肾水不足，腰酸脚软，精亏血少，头晕耳鸣；肾阴不足，精衰血少，腰酸脚软，形容憔悴，阳痿遗精,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
77,当归四逆汤,《伤寒论》,经方思路,规则级,是,规则级,温经散寒；养血通脉,厥阴伤寒，血脉凝涩，手足厥寒，脉细欲绝，或肠鸣腹痛，下利不止，或阴囊疝气，睾丸掣痛，牵引少腹,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
78,当归生姜羊肉汤,《金匮要略》,经方思路,规则级,是,规则级,补气养血；温中暖肾,产后血虚，腹中冷痛，寒疝腹中痛，以及虚劳不足等,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
79,当归芍药散,《金匮要略》,经方思路,规则级,是,规则级,疏肝健脾；活血化瘀；健脾利湿,妇人妊娠，肝郁气滞，脾虚湿胜，腹中疠痛,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
80,抵当汤,《伤寒论》,经方思路,规则级,是,规则级,攻逐蓄血,伤寒瘀热在里，血蓄下焦，不结胸而少腹硬满,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
81,新加香薷饮,《温病条辨》,温病思路,规则级,是,规则级,祛暑解表；清热化湿,"暑温初起，夏感寒邪，恶寒发热，身重,痛，面赤口渴，胸闷不舒，汗不出，舌苔白腻，脉浮而数者",出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
82,旋覆代赭汤,《伤寒论》,经方思路,规则级,是,规则级,降逆化痰；益气和胃,胃虚痰阻气逆证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
83,暖肝煎,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,温补肝肾；行气止痛,肝肾阴寒，小腹疼痛，疝气,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：温补肝肾、行气止痛、肝肾阴寒，小腹疼痛，疝气,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
84,杏苏散,《温病条辨》,温病思路,规则级,是,规则级,轻宣凉燥；化痰止咳,外感凉燥，头微痛，恶寒无汗，咳嗽痰稀，鼻塞嗌塞，苔白脉弦,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
85,枳实芍药散,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
86,枳实薤白桂枝汤,《金匮要略》,经方思路,规则级,是,规则级,通阳散结；祛痰下气,胸阳不振，痰气互结之胸痹证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
87,柴胡枳桔汤,《通俗伤寒论》,经方思路,规则级,是,规则级,和解透表；畅利胸隔,外感初传少阳，寒热往来，胸胁痞满，或痛，或呕或哕者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
88,柴胡桂枝干姜汤,《伤寒论》,经方思路,规则级,是,规则级,和解少阳；温阳化饮,伤寒少阳证，往来寒热，寒重热轻，胸胁满微结，小便不利，渴而不呕，但头汗出，心烦，牡疟寒多热少，或但寒不热,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
89,柴胡疏肝散,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,疏肝行气；活血止痛,胁肋疼痛，寒热往来,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：疏肝行气、活血止痛、胁肋疼痛，寒热往来,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
90,柴胡达原饮,《重订通俗伤寒论》,经方思路,规则级,是,规则级,宣湿化痰；透达膜原,痰疟，痰湿阻于膜原，胸膈痞满，心烦懊恼，头眩口腻，咳痰不爽，间日疟发，舌苔粗如积粉，扪之糙涩者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
91,柴胡陷胸汤,《通俗伤寒论》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
92,栀子大黄汤,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
93,栀子柏皮汤,《伤寒论》,经方思路,规则级,是,规则级,清热泻湿退黄,伤寒身黄发热,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
94,栀子金花丸,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,清热泻火；凉血解毒,肺胃热盛，口舌生疮，牙龈肿痛，目赤眩晕，咽喉肿痛，大便秘结,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：清热泻火、凉血解毒、肺胃热盛，口舌生疮，牙龈肿痛，目赤眩晕，咽喉肿痛，大便秘结,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
95,桂枝人参汤,《伤寒论》,经方思路,规则级,是,规则级,温中解表,太阳病，外证未除，而数下之，遂胁热下利，利下不止，心下痞硬，表里不解者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
96,桂枝加厚朴杏子汤,《伤寒论》,经方思路,规则级,是,规则级,解肌发表；降气平喘,素患喘病，外感风寒，恶寒发热，头痛自汗，鼻塞喘咳者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
97,桂枝加葛根汤,《伤寒论》第17条,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
98,桂枝汤,《伤寒论》,经方思路,规则级,是,规则级,解肌发表；调和营卫,外感风寒表虚证。头痛发热，汗出恶风，鼻鸣干呕，苔白不渴，脉浮缓或浮弱者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
99,桂枝甘草龙骨牡蛎汤,《伤寒论》,经方思路,规则级,是,规则级,温补心阳；潜阳镇逆；收敛心气,心阳受损之烦躁不安,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
100,桂枝芍药知母汤,《金匮要略·中风历节病脉证并治第五》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
101,桂枝茯苓丸,《金匮要略》,经方思路,规则级,是,规则级,活血化瘀；缓消癥块,妇人宿有症病，经断未及三月，而得漏下不止，胎动在脐上，月经困难，经停腹胀痛，难产，胎死腹中，胞衣不下产后恶露不尽而腹痛拒按者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
102,桂枝麻黄各半汤,《伤寒论》,经方思路,规则级,是,规则级,调和营卫；开表发汗,太阳病，得之八九日，如疟状，发热恶寒，热多寒少，一日二三度发，面色反有热色，无汗，身痒者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
103,桃核承气汤,《伤寒论》,经方思路,规则级,是,规则级,逐瘀泻热,瘀热蓄于下焦，少腹急结，大便色黑，小便自利，甚则谵语烦渴，其人如狂，至夜发热，及血瘀经闭，痛经，产后恶露不下，脉沉实或涩,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
104,桃花汤,《伤寒论》,经方思路,规则级,是,规则级,温中涩肠,久痢不愈，便脓血，色黯不鲜，腹痛喜温喜按，舌质淡苔白，脉迟弱，或微细，现用于痢疾后期，伤寒肠出血，慢性肠炎，溃疡病，带下等属于脾肾阳虚者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
105,桑杏汤,《温病条辨》,温病思路,规则级,是,规则级,清宣燥热；润燥止咳,秋感温燥，灼伤肺津，身不甚热，干咳无痰，咽干口渴，舌红，苔薄白而燥，右脉数大者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
106,桑白皮汤,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,清火涤痰；止咳平喘,痰热壅肺，顿咳痉咳期,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：清火涤痰、止咳平喘、痰热壅肺，顿咳痉咳期,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
107,桑菊饮,《温病条辨》,温病思路,规则级,是,规则级,疏风清热；宣肺止咳,风温初起，咳嗽，身热不甚，口微渴，苔薄白，脉浮数者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
108,桔梗杏仁煎,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,润肺止咳,咳嗽吐脓，痰中带血，或胸膈隐痛，将成肺痈者,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：润肺止咳、咳嗽吐脓，痰中带血，或胸膈隐痛，将成肺痈者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
109,橘皮竹茹汤,《金匮要略》,经方思路,规则级,是,规则级,降逆止呕；益气清热,久病体弱或吐下后胃虚有热，气逆不降，呃逆或呕吐，舌嫩红，脉虚数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
110,正柴胡饮,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,解表散寒；解热止痛,外感风寒，发热恶寒，头疼身痛，痎疟初起,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：解表散寒、解热止痛、外感风寒，发热恶寒，头疼身痛，痎疟初起,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
111,毓麟珠,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,补益气血；温养肝肾；强固冲任；调经助孕,妇人气血不足，肝肾两虚，月经不调，或后错色淡，或量少腹痛，或淋沥不断，腰膝酸软，小腹冷痛，性欲减退，身体瘦弱，久不受孕等,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：补益气血、温养肝肾、强固冲任、调经助孕、妇人气血不足，肝肾两虚，月经不调，或后错色淡，或量少腹痛，或淋沥不断，腰膝酸软，小腹冷痛，性欲减退，身体瘦弱，久不受孕等,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
112,沙参麦冬汤,《温病条辨》,温病思路,规则级,是,规则级,滋阴润肺；化痰止咳,燥伤肺胃阴分，津液亏损，咽干口渴，干咳痰少而粘，或发热，脉细数，舌红少苔者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
113,法半夏厚朴汤,《金匮要略》,经方思路,规则级,是,规则级,行气散结；降逆化痰,梅核气,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
114,泰山磐石散,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,益气健脾；养血安胎,气血虚弱，胎动不安，堕胎，滑胎,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：益气健脾、养血安胎、气血虚弱，胎动不安，堕胎，滑胎,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
115,泻心汤,《金匮要略》,经方思路,规则级,是,规则级,泻火消痞,邪热壅滞心下，气机痞塞证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
116,泽泻汤,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
117,济川煎,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,温肾益精；润肠通便,老年肾虚，大便秘结，小便清长，腰酸足软，背冷畏寒,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：温肾益精、润肠通便、老年肾虚，大便秘结，小便清长，腰酸足软，背冷畏寒,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
118,济生肾气丸,《金匮要略》,经方思路,规则级,是,规则级,温补脾肾；行气利水,肾虚水肿，小便不利,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
119,清宫汤,《温病条辨》,温病思路,规则级,是,规则级,清心解毒；养阴生津,温病，邪陷心包，发热，神昏谵语者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
120,清暑益气汤,《温热经纬》,温病思路,规则级,是,规则级,清暑益气；养阴生津,暑热耗气伤津，身热汗多，心烦口渴，小便短赤，体倦少气，精神不振，脉虚数者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
121,清络饮,《温病条辨》,温病思路,规则级,是,规则级,祛暑清热,暑温经发汗后，暑证悉减，但头微胀，目不了了，余邪未解者，或暑伤肺经气分之轻证,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
122,清营汤,《金匮要略》,经方思路,规则级,是,规则级,清营解毒；透热养阴,温病邪热传营，身热夜甚，口渴或不渴，时有谵语心烦不眠，或斑疹隐隐，舌绛而干，脉细数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
123,炙甘草汤,《伤寒论》,经方思路,规则级,是,规则级,益气滋阴；通阳复脉,气虚血弱，虚羸少气，心悸心慌，虚烦失眠，大便干结，舌质淡红少苔，脉结代，虚劳肺瘘，久咳不止，涎唾甚多，咽燥而渴，痰中有血，心悸，心烦，少气，失眠，自汗盗汗，脉虚数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
124,独参汤,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,大补元气,诸虚气弱危急者,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：大补元气、诸虚气弱危急者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
125,猪苓汤,《伤寒论》,经方思路,规则级,是,规则级,利水；养阴；清热,水热互结，邪热伤阴所致的发热，渴欲引水，或下利，咳而呕渴，心烦不得眠者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
126,玉女煎,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,清胃热；滋肾阴,水亏火盛，六脉浮洪滑大，少阴不足，阳明有余，烦热干渴，头痛牙疼，失血,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：清胃热、滋肾阴、水亏火盛，六脉浮洪滑大，少阴不足，阳明有余，烦热干渴，头痛牙疼，失血,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
127,理中丸,《伤寒论》,经方思路,规则级,是,规则级,温中散寒；补气健脾,脾胃虚寒证，或阳虚失血证，或小儿慢惊，或病后喜唾涎沫，或脾胃虚寒所致的胸痹等证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
128,理中汤,《伤寒论》,经方思路,规则级,是,规则级,温中祛寒；补气健脾,脾胃虚寒证，自利不渴，呕吐腹痛，腹满不食及中寒霍乱，阳虚失血，如吐血，便血或崩漏，胸痞虚证，胸痛彻背倦怠少气，四肢不温，现用于急，慢性胃炎，胃窦炎，溃疡病，胃下垂，慢性肝炎等属脾胃虚寒者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
