序号,方名,出处,数据库记录的组成,味数,遮蔽更大方数量,被遮蔽的大方举例,机器裁定理由,【请填】组成是否与该方名相符,【请填】若不符，通行组成是,【请填】备注,规范方名建议,核定依据定位,核定依据链接,证据等级,核定日期
59,休疟饮,《成方切用》,人参、白术、当归、何首乌、甘草,5,2,,休疟饮在《成方切用》中的通行组成不确定，且同名异方可能，无法确切判断。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
60,阳痿不举方,《大小诸证方论》,熟地黄、山茱萸、远志、巴戟天、肉苁蓉、肉桂,6,2,,该方名在文献中不常见，无法确切回忆其通行组成，且同名异方可能性大。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为病证条目，不是跨版本唯一的通行方名。,阳痿不举方（原书条文题）,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
61,白散子,《三因极一病证方论》,附子、滑石、半夏,3,1,,白散子方名在文献中可能有多方，且无法确切回忆其通行组成，故判unknown。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 《三因》中同名方不止一首；本条定位卷二中风治法的白散子。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
62,白术汤,《三因极一病证方论》,白术、五味子、茯苓、甘草、半夏,5,1,,白术汤在《三因极一病证方论》中有多个同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
63,保产无忧方,《惠直堂经验方》,当归身、川芎、厚朴、白芍、川贝母,5,1,,保产无忧方在文献中有多种同名异方，无法确切判断该组成是否一致,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
64,背骨痛方,《大小诸证方论》,黄芪、熟地黄、白术、山茱萸、五味子、茯苓,6,1,,无法确切回忆该方通行组成，且同名异方可能,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为病证条目，不是跨版本唯一的通行方名。,背骨痛方（原书条文题）,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
65,补养丸,《瑞竹堂经验方》,菟丝子、补骨脂、益智仁、杜仲,4,1,,补养丸在《瑞竹堂经验方》中的具体组成不明确，且可能存在同名异方，无法确认一致性。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《瑞竹堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E7%91%9E%E7%AB%B9%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
66,补益治漏，秘精丸,《洪氏集验方》,附子、龙骨、牛膝、肉苁蓉、巴戟天、菟丝子,6,1,,无法确切回忆该方名的通行组成，且可能存在同名异方。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《洪氏集验方》对应方/条文；按方名、卷次与药味共同定位,https://www.baijiyishu.cn/jingfang/108.html,A/B（古籍电子全文或可靠全文转录）,2026-08-09
67,仓公当归酒,《三因极一病证方论》,当归、防风、独活、麻黄、细辛、附子,6,1,,无法确切回忆该方的通行组成，且方名在文献中可能有多义。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
68,柴胡梅连散,《瑞竹堂经验方》,胡黄连、柴胡、前胡、乌梅,4,1,,无法确切回忆该方的通行组成，且同名异方可能性存在,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《瑞竹堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E7%91%9E%E7%AB%B9%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
69,蟾酥解毒丸,《惠直堂经验方》,蟾酥、雄黄、乳香,3,1,,蟾酥解毒丸在《惠直堂经验方》中的具体组成无法确切回忆，且可能存在同名异方，故判unknown。,是（定量主药相符；制剂/煎服项另见备注）,蟾酥、雄黄、乳香；葱汁制丸，朱砂为衣,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 原条三味为主药，葱汁制丸，朱砂为衣；朱砂宜在制剂成分中另列。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
70,喘嗽方,《大小诸证方论》,人参、熟地黄、麦冬、五味子、枸杞子、牛膝,6,1,,喘嗽方在中医文献中并非单一通行方名，同名异方较多，无法确切判断该组成是否一致。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为病证条目，不是跨版本唯一的通行方名。,喘嗽方（原书条文题）,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
71,大黄甘草饮子,《医方考》,大黄、甘草、大豆,3,1,,无法确切回忆该方通行组成，且同名异方可能,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方考》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E8%80%83,A/B（古籍电子全文或可靠全文转录）,2026-08-09
72,丹溪脱肛方,《医方考》,人参、黄芪、川芎、当归、升麻,5,1,,丹溪脱肛方在文献中组成记载不一，无法确切回忆通行组成,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方考》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E8%80%83,A/B（古籍电子全文或可靠全文转录）,2026-08-09
73,当归芍药汤,《千金要方》,当归、白芍、人参、肉桂、生姜、甘草、大枣、地黄,8,1,,同名异方较多，无法确认通行组成,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 按《千金要方》当归芍药汤条核定，不与《金匮要略》同名方混用。,,《千金要方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%82%99%E6%80%A5%E5%8D%83%E9%87%91%E8%A6%81%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
74,导水丸,《瑞竹堂经验方》,黄芩、大黄、滑石,3,1,,导水丸在《瑞竹堂经验方》中组成不详，且同名方较多，无法确认。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《瑞竹堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E7%91%9E%E7%AB%B9%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
75,茯苓苏子丸,《三因极一病证方论》,茯苓、苏子、杏仁、橘皮、防己、葶苈,6,1,,无法确切回忆该方通行组成，且同名异方风险高,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
76,茯苓五味子汤,《三因极一病证方论》,茯苓、桂心、甘草、五味子,4,1,,茯苓五味子汤在《三因极一病证方论》中可能为同名异方，无法确切回忆其通行组成，且记录组成与常见方剂（如苓桂五味甘草汤）相似但方名不完全对应，故判unknown。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
77,复春丹,《瑞竹堂经验方》,杜仲、补骨脂、萆薢、巴戟天,4,1,,复春丹在《瑞竹堂经验方》中具体组成不详，且同名方剂较多，无法确认该记录是否一致。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《瑞竹堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E7%91%9E%E7%AB%B9%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
78,桂枝加黄五两汤,《三因极一病证方论》,桂枝、芍药、甘草、黄芪,4,1,,方名“桂枝加黄五两汤”不常见，且“黄”可能指黄芪或黄芩，通行组成不确定，同名异方风险高。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
79,黄连阿胶丸,《局方》,黄连、茯苓、阿胶,3,1,,黄连阿胶丸在《局方》中有多种同名异方，组成不一，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 按《局方》黄连阿胶丸条核定，不与黄连阿胶汤或他书同名丸混用。,,《局方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%AA%E5%B9%B3%E6%83%A0%E6%B0%91%E5%92%8C%E5%8A%91%E5%B1%80%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
80,加味乌药汤,《济阴纲目》,乌药、香附、砂仁、木香,4,1,,加味乌药汤在《济阴纲目》中有多种同名异方，无法确定通行组成,否（漏延胡索、甘草）,乌药、砂仁、木香、延胡索、香附、甘草,《济阴纲目》原方六味；另以生姜三片同煎。原记录漏延胡索、甘草。,加味乌药汤,《济阴纲目》对应方/条文；按方名、卷次与药味共同定位,https://www.med66.com/new/201208/wx201208298236.shtml,A/B（古籍电子全文或可靠全文转录）,2026-08-09
81,加味小建中汤,《三因极一病证方论》,桂心、甘草、白芍药、远志,4,1,,加味小建中汤在《三因极一病证方论》中组成不详，且同名异方较多，无法确证。,是（定量主药相符；制剂/煎服项另见备注）,桂心、甘草、白芍药、远志；煎服另加生姜、大枣、饧糖,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 原条四味为定量主药，煎服另加生姜、大枣、饧糖；不能据此把加味小建中汤等同于仅四味。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
82,解风散,《成方切用》,人参、麻黄、川芎、独活、细辛、甘草,6,1,,解风散在《成方切用》中的具体组成无法确切回忆，且同名方剂可能有多源，无法确认一致性。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
83,进退黄连汤,《绛雪园古方选注》,黄连、干姜、人参、桂枝、半夏,5,1,,进退黄连汤在《绛雪园古方选注》中组成不明确，且存在同名异方可能，无法确切判断。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《绛雪园古方选注》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E7%B5%B3%E9%9B%AA%E5%9C%92%E5%8F%A4%E6%96%B9%E9%81%B8%E6%B3%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
84,菊花丸,《三因极一病证方论》,菊花、枸杞子、肉苁蓉、巴戟天,4,1,,菊花丸在中医文献中有多种同名异方，无法确切回忆《三因极一病证方论》中该方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
85,决津煎,《成方切用》,当归、泽泻、肉桂、熟地黄,4,1,,决津煎在《景岳全书》中由当归、泽泻、牛膝、肉桂、乌药、熟地黄组成，但此处出处为《成方切用》，且组成缺牛膝、乌药，无法确认是否一致。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 《成方切用》决津煎原条即当归、泽泻、肉桂、熟地四味；机器理由误混入其他方。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
86,内消丸,《验方新编》,雄黄、乳香、蟾酥,3,1,,内消丸在中医文献中有多种同名异方，无法确认《验方新编》中该方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%A9%97%E6%96%B9%E6%96%B0%E7%B7%A8/%E5%8D%B724,A/B（古籍电子全文或可靠全文转录）,2026-08-09
87,疟丹,《医方集宜》,杏仁、巴豆、百草霜、黄蜡,4,1,,疟丹在中医文献中并非常见方名，且《医方集宜》中的具体组成无法确切回忆，存在同名异方可能。,否（方名与条文错位）,真阿魏、雄黄、朱砂,《医方集宜》疟丹本为阿魏、雄黄、朱砂；数据库四味实际属于后续“治小儿积滞腹胀不食”匿名方，疑由连续标题抽取错位。,疟丹,《医方集宜》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E9%9B%86%E5%AE%9C,A/B（古籍电子全文或可靠全文转录）,2026-08-09
88,疟疾不二饮,《惠直堂经验方》,常山、槟榔、知母、贝母,4,1,,无法确切回忆该方通行组成，且同名异方可能,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
89,朴硝散,《验方新编》,牡蛎、大黄、朴硝,3,1,,朴硝散在《验方新编》中具体组成无法确切回忆，且同名方较多，无法判断一致性。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%A9%97%E6%96%B9%E6%96%B0%E7%B7%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
90,羌活散,《三因极一病证方论》,羌活、附子、茴香、木香、干姜、丁香,6,1,,羌活散在《三因极一病证方论》中有多个同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
91,人参散,《三因极一病证方论》,人参、款冬花、罂粟壳,3,1,,人参散在《三因极一病证方论》中有多个同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
92,乳癖乳岩方,《惠直堂经验方》,蒲公英、金银花、夏枯草、土贝母,4,1,,该方名在文献中不常见，无法确切回忆其通行组成，且同名异方可能性存在。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为病证条目；所列四味是原书基础方，后文另列加减。,乳癖乳岩方（原书条文题）,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
93,三柴胡饮,景岳,柴胡、芍药、甘草、陈皮、当归,5,1,,三柴胡饮在《景岳全书》中有多种同名异方，组成不确定，且记录组成与常见版本不完全吻合。,是（定量主药相符；制剂/煎服项另见备注）,柴胡、芍药、甘草、陈皮、当归；煎服另加生姜,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 原条五味为定量主药，煎服另加生姜；本表按主药组成判为相符。,,景岳对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%99%AF%E5%B2%B3%E5%85%A8%E6%9B%B8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
94,三黄汤,《三因极一病证方论》,麻黄、黄芪、黄芩、独活,4,1,,三黄汤在文献中有多种同名异方，无法确定通行组成,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
95,三因白散子,《成方切用》,附子、滑石、半夏,3,1,,三因白散子在不同文献中组成有异，无法确切判断通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 《成方切用》明确题为“三因白散子”，三味与《三因》卷二白散子一致。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
96,神造汤,《千金》,蟹爪、阿胶、甘草,3,1,,神造汤在《千金》中有多种记载，组成不确定，且数据库记录组成与常见版本可能不符，无法确切判断。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《千金》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%82%99%E6%80%A5%E5%8D%83%E9%87%91%E8%A6%81%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
97,肾水成痰引火下降方,《大小诸证方论》,熟地黄、山茱萸、肉桂、五味子、牛膝,5,1,,该方名在文献中不常见，无法确切回忆其通行组成，且同名异方可能性存在。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为病机描述式条目，不宜脱离出处作为固定成方名。,肾水成痰引火下降方（原书条文题）,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
98,升阳除湿防风汤,《医方集解》,苍术、防风、茯苓、白术、芍药,5,1,,升阳除湿防风汤在《脾胃论》中为苍术、防风、白术、茯苓、芍药，但《医方集解》所载可能不同，且同名异方，无法确定。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方集解》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E9%9B%86%E8%A7%A3,A/B（古籍电子全文或可靠全文转录）,2026-08-09
99,术附汤,《三因极一病证方论》,附子、白术、甘草、茯苓、桂心,5,1,,术附汤在《三因极一病证方论》中有多种同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
100,温六丸,《医方考》,滑石、甘草、干姜,3,1,,温六丸在文献中有多种同名异方，无法确切回忆通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方考》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E8%80%83,A/B（古籍电子全文或可靠全文转录）,2026-08-09
101,夏热集补证治并方,《温热暑疫全书》,石膏、知母、甘草、粳米,4,1,,方名‘夏热集补证治并方’并非标准方剂名，无法确认其通行组成，且出处《温热暑疫全书》中未见此方名。,否（把章节题当成方名）,石膏、知母、甘草、粳米,“夏热集补证治并方”是篇章/汇集题，不是方名；四味组成对应白虎汤。,白虎汤,《温热暑疫全书》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%BA%AB%E7%86%B1%E6%9A%91%E7%96%AB%E5%85%A8%E6%9B%B8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
102,消毒饮,《成方切用》,牛蒡子、荆芥穗、防风、甘草,4,1,,消毒饮在中医文献中有多种同名异方，无法确切回忆《成方切用》中该方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
103,又洗方,《验方新编》,黄柏、黄连、寒水石、甘草,4,1,,无法确切回忆《验方新编》中'又洗方'的通行组成，且方名过于泛化，存在同名异方可能。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 “又洗方”依赖上文语境，脱离卷次不能唯一检索。,又洗方（承接治枪子伤肉条）,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%A9%97%E6%96%B9%E6%96%B0%E7%B7%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
104,止吐方,《大小诸证方论》,人参、砂仁、白术、茯苓、陈皮、半夏、干姜,7,1,,止吐方在中医文献中并非固定方名，且《大小诸证方论》中该方组成无法确切回忆，存在同名异方可能。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为病证条目，不是跨版本唯一的通行方名。,止吐方（原书条文题）,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
105,治瞳人散大方,《验方新编》,熟地黄、当归身、白芍、车前子、川芎、菟丝子,6,1,,无法确切回忆该方通行组成，且方名少见，存在同名异方可能,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%A9%97%E6%96%B9%E6%96%B0%E7%B7%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
106,治胸腹胀满方,《集验方》,半夏、桂心、生姜,3,1,,该方名过于泛化，且《集验方》中具体组成不详，无法确认通行组成。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为主治描述，不是固定专名。,治胸腹胀满方（《集验方》条文）,《集验方》对应方/条文；按方名、卷次与药味共同定位,https://zhongyibaodian.com/jiyanfang/,A/B（古籍电子全文或可靠全文转录）,2026-08-09
107,朱砂酸枣仁乳香散,《灵苑方》,朱砂、酸枣仁、乳香,3,1,,《灵苑方》中朱砂酸枣仁乳香散的具体组成不详，无法确认是否一致。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《灵苑方》对应方/条文；按方名、卷次与药味共同定位,https://ctext.org/wiki.pl?if=gb&res=814444,A/B（古籍电子全文或可靠全文转录）,2026-08-09
108,驻景丸,《成方切用》,枸杞子、车前子、熟地黄、菟丝子,4,1,,驻景丸在文献中有多种同名异方，无法确定通行组成,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
109,资生丸,《成方切用》,白术、人参、桔梗、泽泻,4,1,,资生丸在《成方切用》等文献中有多种同名异方，且记录组成仅四味，无法确认与通行组成一致。,否（严重截断，漏14味）,人参、白豆蔻、莲子肉、黄连、桔梗、神曲、薏苡仁、芡实、陈皮、藿香、白术、山药、麦芽、山楂、白茯苓、炙甘草、白扁豆、泽泻,《成方切用》电子转录在此处有多处OCR脱字；与同系古籍方文交叉核对为18味，原记录仅保留白术、人参、桔梗、泽泻。,资生丸,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A5%87%E6%96%B9%E9%A1%9E%E7%B7%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
